server_id,port,port_exposed,mfa_enabled,last_login_days,failed_logins
srv-001,22,true,false,3,1
srv-002,443,false,true,45,0
srv-003,3389,true,false,60,12
srv-004,80,true,true,5,0
srv-005,22,true,true,90,3
srv-006,443,false,true,10,0
srv-007,8080,true,false,20,2
srv-008,443,false,true,15,1
srv-009,22,true,true,5,0
srv-010,3389,true,false,120,25
srv-011,80,true,true,8,0
srv-012,443,false,true,30,1
srv-013,22,false,true,12,0
srv-014,3389,true,true,7,0
srv-015,8080,true,false,45,4
srv-016,443,false,true,22,0
srv-017,22,true,false,2,0
srv-018,80,true,true,60,1
srv-019,3389,true,false,90,18
srv-020,443,false,true,18,0
srv-021,22,true,true,9,0
srv-022,8080,false,true,25,2
srv-023,443,false,true,14,0
srv-024,3389,true,false,110,30
srv-025,80,true,true,6,0
srv-026,22,true,false,40,3
srv-027,443,false,true,11,0
srv-028,3389,true,true,15,1
srv-029,8080,true,false,55,5
srv-030,443,false,true,20,0
